location,price,total_sqft,No. of Bedrooms,School,24X7Security,CarParking,Hospital,LiftAvailable
Nizampet,3650000,1000,2,0,0,0,0,1
Hitech City,8625000,1150,2,0,0,0,0,1
Kondakal,7500000,1330,3,0,0,0,0,1
Kondapur,20000000,2250,3,0,0,0,0,0
Tellapur,10000000,2240,3,0,0,0,0,0
Banjara Hills,45000000,4500,4,0,1,1,0,1
Banjara Hills,45000000,4500,4,0,1,1,0,1
Banjara Hills,45000000,4500,4,0,1,1,0,1
Gajularamaram,3300000,800,2,0,0,0,0,0
Gajularamaram,3300000,800,2,0,0,0,0,0
Gajularamaram,3300000,800,2,0,0,0,0,0
Gajularamaram,3300000,800,2,0,0,0,0,0
Chandanagar,5635000,1150,2,0,0,0,0,1
Nanakramguda,12900000,1840,3,0,0,0,0,1
Gopanpally,7800000,1560,3,0,0,0,0,1
Serilingampally,6300000,1300,2,0,0,0,0,1
Somajiguda,28000000,3200,4,0,0,0,0,1
Banjara Hills,30000000,2950,3,0,0,0,0,1
Banjara Hills,30000000,2950,3,0,0,0,0,0
Gachibowli,12500000,1699,4,0,0,0,0,1
Nagole,6583000,1254,2,0,1,1,0,1
Nagole,8977000,1710,3,0,1,1,0,1
Kukatpally,35500000,4067,4,0,1,1,0,1
Uppal Kalan,7500000,1320,2,0,1,0,0,1
Puppalaguda,7000000,1605,3,0,0,0,0,1
Madhapur,14500000,2120,3,0,0,0,0,1
Nallagandla Gachibowli,13500000,1860,3,0,1,1,0,1
Nallagandla Gachibowli,13500000,1860,3,0,0,0,0,1
Krishna Reddy Pet,2700000,1050,2,0,0,0,0,1
Miyapur,8990000,1550,3,0,0,0,0,1
Hitech City,27500000,3090,4,0,1,1,0,1
Gachibowli,66400000,6718,5,0,1,1,0,1
Kondapur,7500000,1195,2,0,1,1,0,1
AS Rao Nagar,5700000,1230,3,0,0,0,0,0
Banjara Hills,33000000,2956,4,0,0,0,0,0
Banjara Hills,33000000,2956,4,0,0,0,0,0
LB Nagar,5500000,1076,2,0,0,0,0,1
Bolarum,3578000,842,2,0,0,0,0,1
Miyapur,7800000,1200,2,0,0,0,0,0
Jubilee Hills,52000000,4500,4,0,0,0,0,0
Jubilee Hills,52000000,4500,4,0,0,0,0,0
Jubilee Hills,40000000,3600,4,0,0,0,0,0
Jubilee Hills,40000000,3600,4,0,0,0,0,0
Banjara Hills,36700000,3500,3,0,0,0,0,0
Banjara Hills,36700000,3500,3,0,0,0,0,1
Madhapur,8600000,1150,2,0,0,0,0,1
Hitech City,9000000,1150,2,0,0,0,0,0
Hitech City,9000000,1150,2,0,0,0,0,1
Nanakramguda,9877000,1245,2,1,1,1,1,1
Nanakramguda,13000000,1600,3,1,1,1,1,1
Nanakramguda,18800000,2270,3,1,1,1,1,1
Manikonda,6000000,1200,2,0,0,1,0,1
Puppalaguda,7000000,1418,3,0,0,0,0,1
Miyapur,9984000,1920,3,0,0,0,0,1
Miyapur,10000000,1925,3,0,0,0,0,1
Miyapur,9906000,1905,3,0,0,0,0,1
Gachibowli,5500000,850,2,0,0,0,0,1
Nizampet,8000000,1940,3,0,0,0,0,0
Hitech City,8600000,1150,2,0,0,0,0,1
Kukatpally,11100000,1730,3,0,0,0,0,0
Kukatpally,11100000,1730,3,0,0,0,0,1
Mehdipatnam,4200000,1050,2,0,0,0,0,1
Mehdipatnam,4200000,1050,2,0,0,0,0,0
